vid,japanese,reading,meaning,type,category,subcategory,level
v074,インド,いんど,India,proper_noun,self_introduction,～からきました,4
v075,インドネシア,いんどねしあ,Indonesia,proper_noun,self_introduction,～からきました,4
v076,韓国,かんこく,South Korea,proper_noun,self_introduction,～からきました,4
v077,タイ,たい,Thailand,proper_noun,self_introduction,～からきました,4
v078,台湾,たいわん,Taiwan,proper_noun,self_introduction,～からきました,4
v079,中国,ちゅうごく,China,proper_noun,self_introduction,～からきました,4
v080,ネパール,ねぱーる,Nepal,proper_noun,self_introduction,～からきました,4
v081,フィリピン,ふぃりぴん,Philippines,proper_noun,self_introduction,～からきました,4
v082,ベトナム,べとなむ,Vietnam,proper_noun,self_introduction,～からきました,4
v083,マレーシア,まれーしあ,Malaysia,proper_noun,self_introduction,～からきました,4
v084,ミャンマー,みゃんまー,Myanmar,proper_noun,self_introduction,～からきました,4
v085,トルコ,とるこ,Turkey,proper_noun,self_introduction,～からきました,4
v086,オーストラリア,おーすとらりあ,Australia,proper_noun,self_introduction,～からきました,4
v087,ニュージーランド,にゅーじーらんど,New Zealand,proper_noun,self_introduction,～からきました,4
v088,アメリカ,あめりか,America; United States,proper_noun,self_introduction,～からきました,4
v089,カナダ,かなだ,Canada,proper_noun,self_introduction,～からきました,4
v090,メキシコ,めきしこ,Mexico,proper_noun,self_introduction,～からきました,4
v091,ブラジル,ぶらじる,Brazil,proper_noun,self_introduction,～からきました,4
v092,ロシア,ろしあ,Russia,proper_noun,self_introduction,～からきました,4
v093,イギリス,いぎりす,United Kingdom; Britain,proper_noun,self_introduction,～からきました,4
v094,フランス,ふらんす,France,proper_noun,self_introduction,～からきました,4
v095,ドイツ,どいつ,Germany,proper_noun,self_introduction,～からきました,4
v096,スイス,すいす,Switzerland,proper_noun,self_introduction,～からきました,4
v097,イタリア,いたりあ,Italy,proper_noun,self_introduction,～からきました,4
v098,スペイン,すぺいん,Spain,proper_noun,self_introduction,～からきました,4
v099,エジプト,えじぷと,Egypt,proper_noun,self_introduction,～からきました,4
v100,ケニア,けにあ,Kenya,proper_noun,self_introduction,～からきました,4
v101,ヨーロッパ,よーろっぱ,Europe,proper_noun,self_introduction,～からきました,4
v102,アジア,あじあ,Asia,proper_noun,self_introduction,～からきました,4
v103,アフリカ,あふりか,Africa,proper_noun,self_introduction,～からきました,4
v193,先生,せんせい,teacher; instructor,noun,study,学校,5
v194,学生,がくせい,student,noun,study,学校,5
v195,留学生,りゅうがくせい,international student; foreign student,noun,study,学校,5
v196,学校,がっこう,school,noun,study,学校,5
v197,勉強する,べんきょうする,to study,verb,study,学校,5
v198,日本語学校,にほんごがっこう,Japanese language school,noun,study,学校,5
v199,小学校,しょうがっこう,elementary school,noun,study,学校,5
v200,中学校,ちゅうがっこう,junior high school,noun,study,学校,5
v201,高校,こうこう,high school,noun,study,学校,5
v202,大学,だいがく,university; college,noun,study,学校,5
v203,教室,きょうしつ,classroom,noun,study,学校,5
v204,クラス,クラス,class,noun,study,学校,5
v205,行く,いく,to go,verb,study,学校,5
v206,来る,くる,to come,verb,study,学校,5
v207,帰る,かえる,to return; go home,verb,study,学校,5
v208,ゼロ,ゼロ,zero,number,study,かず ,6
v209,一,いち,one,number,study,かず ,6
v210,二,に,two,number,study,かず ,6
v211,三,さん,three,number,study,かず ,6
v212,四,よん,four,number,study,かず ,6
v213,五,ご,five,number,study,かず ,6
v214,六,ろく,six,number,study,かず ,6
v215,七,なな,seven,number,study,かず ,6
v216,八,はち,eight,number,study,かず ,6
v217,九,きゅう,nine,number,study,かず ,6
v218,十,じゅう,ten,number,study,かず ,6
v219,十一,じゅういち,eleven,number,study,かず ,6
v220,十二,じゅうに,twelve,number,study,かず ,6
v221,～月,～がつ,month; [month],suffix,study,かず ,6
v222,一月,いちがつ,January,noun,study,かず ,6
v223,二月,にがつ,February,noun,study,かず ,6
v224,三月,さんがつ,March,noun,study,かず ,6
v225,四月,しがつ,April,noun,study,かず ,6
v226,五月,ごがつ,May,noun,study,かず ,6
v227,六月,ろくがつ,June,noun,study,かず ,6
v228,七月,しちがつ,July,noun,study,かず ,6
v229,八月,はちがつ,August,noun,study,かず ,6
v230,九月,くがつ,September,noun,study,かず ,6
v231,十月,じゅうがつ,October,noun,study,かず ,6
v232,十一月,じゅういちがつ,November,noun,study,かず ,6
v233,十二月,じゅうにがつ,December,noun,study,かず ,6
v234,何月,なんがつ,what month,noun,study,かず ,6
v235,曜日,ようび,day of the week,noun,study,ようび,7
v236,日曜日,にちようび,Sunday,noun,study,ようび,7
v237,月曜日,げつようび,Monday,noun,study,ようび,7
v238,火曜日,かようび,Tuesday,noun,study,ようび,7
v239,水曜日,すいようび,Wednesday,noun,study,ようび,7
v240,木曜日,もくようび,Thursday,noun,study,ようび,7
v241,金曜日,きんようび,Friday,noun,study,ようび,7
v242,土曜日,どようび,Saturday,noun,study,ようび,7
v243,何曜日,なんようび,what day of the week,noun,study,ようび,7
v244,今日,きょう,today,noun,study,ようび,7
v245,昨日,きのう,yesterday,noun,study,ようび,7
v246,明日,あした,tomorrow,noun,study,ようび,7
v247,毎日,まいにち,every day,adverb,study,ようび,7
v248,～週間,～しゅうかん,[number] weeks,suffix,study,ようび,7
v249,～か月,～かげつ,[number] months,suffix,study,ようび,7
v250,～年,～ねん,[number] years,suffix,study,ようび,7
v251,～回,～かい,[number] times,suffix,study,ようび,7
v252,何回,なんかい,how many times,noun,study,ようび,7
v253,アルバイトする,アルバイトする,to work a part-time job,verb,study,ようび,7
v254,する,する,to do,verb,study,ようび,7
v255,言葉,ことば,word; language,noun,study,ことば,8
v256,字,じ,character; letter,noun,study,ことば,8
v257,日本語,にほんご,Japanese language,noun,study,ことば,8
v258,～語,～ご,[language],suffix,study,ことば,8
v259,話す,はなす,to speak; to talk,verb,study,ことば,8
v260,ゆっくり,ゆっくり,slowly; leisurely,adverb,study,ことば,8
v261,言う,いう,to say; to tell,verb,study,ことば,8
v262,もう一度,もういちど,one more time; again,adverb,study,ことば,8
v263,お願いします,おねがいします,please; I request,expression,study,ことば,8
v264,分かる,わかる,to understand,verb,study,ことば,8
v265,少し,すこし,a little; a few,adverb,study,ことば,8
v266,もう少し,もうすこし,a little more,adverb,study,ことば,8
v267,よく,よく,well; often,adverb,study,ことば,8
v268,だいたい,だいたい,roughly; generally,adverb,study,ことば,8
v269,全然,ぜんぜん,not at all; entirely,adverb,study,ことば,8
v270,ひらがな,ひらがな,hiragana,noun,study,ことば,8
v271,カタカナ,カタカナ,katakana,noun,study,ことば,8
v272,漢字,かんじ,kanji; Chinese character,noun,study,ことば,8
v273,ローマ字,ローマじ,Roman letters; romaji,noun,study,ことば,8
v274,勉強,べんきょう,study; studying,noun,study,べんきょう,9
v275,読む,よむ,to read,verb,study,べんきょう,9
v276,本,ほん,book,noun,study,べんきょう,9
v277,書く,かく,to write,verb,study,べんきょう,9
v278,聞く,きく,to listen; to hear; to ask,verb,study,べんきょう,9
v279,CD,シーディー,CD,noun,study,べんきょう,9
v280,調べる,しらべる,to look up; to investigate,verb,study,べんきょう,9
v281,買う,かう,to buy,verb,study,べんきょう,9
v282,辞書,じしょ,dictionary,noun,study,べんきょう,9
v283,電子辞書,でんしじしょ,electronic dictionary,noun,study,べんきょう,9
v284,意味,いみ,meaning,noun,study,べんきょう,9
v285,頑張る,がんばる,to do one's best; to persevere,verb,study,べんきょう,9
v286,宿題,しゅくだい,homework,noun,study,べんきょう,9
v287,日記,にっき,diary,noun,study,べんきょう,9
v288,レポート,レポート,report; paper,noun,study,べんきょう,9
v289,図書館,としょかん,library,noun,study,べんきょう,9
v290,本屋,ほんや,bookstore,noun,study,べんきょう,9
v291,練習する,れんしゅうする,to practice,verb,study,べんきょう,9
v292,スピーチ,スピーチ,speech,noun,study,べんきょう,9
v293,覚える,おぼえる,to memorize; to remember,verb,study,べんきょう,9
v294,忘れる,わすれる,to forget,verb,study,べんきょう,9
v295,問題,もんだい,question; problem,noun,study,べんきょう,9
v296,例,れい,example,noun,study,べんきょう,9
v297,答え,こたえ,answer,noun,study,べんきょう,9
v298,質問する,しつもんする,to ask a question,verb,study,べんきょう,9
v299,見学する,けんがくする,to observe; to visit for study,verb,study,べんきょう,9
w001,働く,はたらく,to work,verb,work,はたらく,10
w002,会社,かいしゃ,company; workplace,noun,work,はたらく,10
w003,銀行,ぎんこう,bank,noun,work,はたらく,10
w004,休む,やすむ,to rest; to take a day off,verb,work,はたらく,10
w005,休み,やすみ,rest; day off; holiday,noun,work,はたらく,10
w006,昼休み,ひるやすみ,lunch break,noun,work,はたらく,10
w007,暇な,ひまな,free; not busy,adjective,work,はたらく,10
w008,忙しい,いそがしい,busy,adjective,work,はたらく,10
w009,産業する,さんぎょうする,to engage in industry,verb,work,はたらく,10
w010,出張する,しゅっちょうする,to go on a business trip,verb,work,はたらく,10
w011,事務所,じむしょ,office,noun,work,はたらく,10
w012,工場,こうじょう,factory,noun,work,はたらく,10
w013,受付,うけつけ,reception; reception desk,noun,work,はたらく,10
w014,会議,かいぎ,meeting,noun,work,はたらく,10
w015,会議室,かいぎしつ,meeting room,noun,work,はたらく,10
w016,電話,でんわ,telephone; phone,noun,work,はたらく,10
w017,電話をかける,でんわをかける,to make a phone call,verb,work,はたらく,10
w018,もしもし,もしもし,hello (on the phone),expression,work,はたらく,10
w019,電話番号,でんわばんごう,telephone number,noun,work,はたらく,10
w020,知る,しる,to know; to find out,verb,work,はたらく,10
w021,何番,なんばん,what number,noun,work,はたらく,10
w022,教える,おしえる,to teach; to tell,verb,work,はたらく,10
w023,手伝う,てつだう,to help,verb,work,はたらく,10
w024,作る,つくる,to make; to create,verb,work,はたらく,10
w025,役に立つ,やくにたつ,to be useful; to be helpful,verb,work,はたらく,10
w026,仕事,しごと,work; job,noun,work,しごと,11
w027,会社員,かいしゃいん,company employee,noun,work,しごと,11
w028,銀行員,ぎんこういん,bank employee,noun,work,しごと,11
w029,医者,いしゃ,doctor,noun,work,しごと,11
w030,看護師,かんごし,nurse,noun,work,しごと,11
w031,介護士,かいごし,care worker; caregiver,noun,work,しごと,11
w032,警察官,けいさつかん,police officer,noun,work,しごと,11
w033,お巡りさん,おまわりさん,police officer,noun,work,しごと,11
w034,駅員,えきいん,station staff,noun,work,しごと,11
w035,運転手,うんてんしゅ,driver,noun,work,しごと,11
w036,社長,しゃちょう,president; company director,noun,work,しごと,11
w037,部長,ぶちょう,department manager,noun,work,しごと,11
w038,課長,かちょう,section manager,noun,work,しごと,11
w039,社員,しゃいん,employee; company worker,noun,work,しごと,11
w040,これ,これ,this; this one,pronoun,work,これは何ですか？,12
w041,それ,それ,that; that one,pronoun,work,これは何ですか？,12
w042,あれ,あれ,that over there; that one,pronoun,work,これは何ですか？,12
w043,どれ,どれ,which; which one,pronoun,work,これは何ですか？,12
w044,この,この,this; this [noun],determiner,work,これは何ですか？,12
w045,その,その,that; that [noun],determiner,work,これは何ですか？,12
w046,あの,あの,that over there; that [noun],determiner,work,これは何ですか？,12
w047,どの,どの,which; which [noun],determiner,work,これは何ですか？,12
w048,何,なに,what,pronoun,work,これは何ですか？,12
w049,名刺,めいし,business card,noun,work,これは何ですか？,12
w050,カード,カード,card,noun,work,これは何ですか？,12
w051,スマホ,スマホ,smartphone,noun,work,これは何ですか？,12
w052,電池,でんち,battery,noun,work,これは何ですか？,12
w053,ノート,ノート,notebook,noun,work,これは何ですか？,12
w054,紙,かみ,paper,noun,work,これは何ですか？,12
w055,手帳,てちょう,notebook; planner,noun,work,これは何ですか？,12
w056,ボールペン,ボールペン,ballpoint pen,noun,work,これは何ですか？,12
w057,シャープペンシル,シャープペンシル,mechanical pencil,noun,work,これは何ですか？,12
w058,鉛筆,えんぴつ,pencil,noun,work,これは何ですか？,12
w059,消しゴム,けしゴム,eraser,noun,work,これは何ですか？,12
w060,パンチ,パンチ,hole punch,noun,work,これは何ですか？,12
w061,ホッチキス,ホッチキス,stapler,noun,work,これは何ですか？,12
w062,セロテープ,セロテープ,cellophane tape; clear tape,noun,work,これは何ですか？,12
w063,はさみ,はさみ,scissors,noun,work,これは何ですか？,12
w064,箱,はこ,box,noun,work,これは何ですか？,12
w065,コンピューター,コンピューター,computer,noun,work,これは何ですか？,12
w066,パソコン,パソコン,personal computer; PC,noun,work,これは何ですか？,12
w067,インターネット,インターネット,internet,noun,work,これは何ですか？,12
w068,資料,しりょう,materials; documents,noun,work,これは何ですか？,12
w069,切る,きる,to cut,verb,work,これは何ですか？,12
w070,机,つくえ,desk; table,noun,work,これは何ですか？,12
w071,何こ,なんこ,how many pieces; how many items,counter,work,何こありますか?,13
w072,～こ,～こ,[number] pieces; [number] items,suffix,work,何こありますか?,13
w073,一こ,いっこ,one piece; one item,counter,work,何こありますか?,13
w074,二こ,にこ,two pieces; two items,counter,work,何こありますか?,13
w075,三こ,さんこ,three pieces; three items,counter,work,何こありますか?,13
w076,四こ,よんこ,four pieces; four items,counter,work,何こありますか?,13
w077,五こ,ごこ,five pieces; five items,counter,work,何こありますか?,13
w078,六こ,ろっこ,six pieces; six items,counter,work,何こありますか?,13
w079,七こ,ななこ,seven pieces; seven items,counter,work,何こありますか?,13
w080,八こ,はっこ,eight pieces; eight items,counter,work,何こありますか?,13
w081,九こ,きゅうこ,nine pieces; nine items,counter,work,何こありますか?,13
w082,十こ,じゅっこ,ten pieces; ten items,counter,work,何こありますか?,13
w083,何台,なんだい,how many machines/vehicles,counter,work,何こありますか?,13
w084,～台,～だい,[number] machines/vehicles,suffix,work,何こありますか?,13
w085,一台,いちだい,one machine/vehicle,counter,work,何こありますか?,13
w086,二台,にだい,two machines/vehicles,counter,work,何こありますか?,13
w087,三台,さんだい,three machines/vehicles,counter,work,何こありますか?,13
w088,四台,よんだい,four machines/vehicles,counter,work,何こありますか?,13
w089,五台,ごだい,five machines/vehicles,counter,work,何こありますか?,13
w090,六台,ろくだい,six machines/vehicles,counter,work,何こありますか?,13
w091,七台,ななだい,seven machines/vehicles,counter,work,何こありますか?,13
w092,八台,はちだい,eight machines/vehicles,counter,work,何こありますか?,13
w093,九台,きゅうだい,nine machines/vehicles,counter,work,何こありますか?,13
w094,十台,じゅうだい,ten machines/vehicles,counter,work,何こありますか?,13
w095,時間,じかん,time; hours,noun,work,時間,14
w096,何時,なんじ,what time,counter,work,時間,14
w097,何分,なんぷん,how many minutes,counter,work,時間,14
w098,～時,～じ,[number] o'clock,suffix,work,時間,14
w099,一時,いちじ,one o'clock,counter,work,時間,14
w100,二時,にじ,two o'clock,counter,work,時間,14
w101,三時,さんじ,three o'clock,counter,work,時間,14
w102,四時,よじ,four o'clock,counter,work,時間,14
w103,五時,ごじ,five o'clock,counter,work,時間,14
w104,六時,ろくじ,six o'clock,counter,work,時間,14
w105,七時,しちじ,seven o'clock,counter,work,時間,14
w106,八時,はちじ,eight o'clock,counter,work,時間,14
w107,九時,くじ,nine o'clock,counter,work,時間,14
w108,十時,じゅうじ,ten o'clock,counter,work,時間,14
w109,十一時,じゅういちじ,eleven o'clock,counter,work,時間,14
w110,十二時,じゅうにじ,twelve o'clock,counter,work,時間,14
w111,～分,～ふん/～ぷん,[number] minutes,suffix,work,時間,14
w112,一分,いっぷん,one minute,counter,work,時間,14
w113,二分,にふん,two minutes,counter,work,時間,14
w114,三分,さんぷん,three minutes,counter,work,時間,14
w115,四分,よんぷん,four minutes,counter,work,時間,14
w116,五分,ごふん,five minutes,counter,work,時間,14
w117,六分,ろっぷん,six minutes,counter,work,時間,14
w118,七分,ななふん,seven minutes,counter,work,時間,14
w119,八分,はっぷん,eight minutes,counter,work,時間,14
w120,九分,きゅうふん,nine minutes,counter,work,時間,14
w121,十分,じゅっぷん,ten minutes,counter,work,時間,14
w122,十一分,じゅういっぷん,eleven minutes,counter,work,時間,14
w123,十二分,じゅうにふん,twelve minutes,counter,work,時間,14
w124,十五分,じゅうごふん,fifteen minutes,counter,work,時間,14
w125,二十分,にじゅっぷん,twenty minutes,counter,work,時間,14
w126,三十分,さんじゅっぷん,thirty minutes,counter,work,時間,14
w127,四十分,よんじゅっぷん,forty minutes,counter,work,時間,14
w128,四十五分,よんじゅうごふん,forty-five minutes,counter,work,時間,14
w129,五十分,ごじゅっぷん,fifty minutes,counter,work,時間,14
w130,半,はん,half; half past,suffix,work,時間,14
w131,～ごろ,～ごろ,around; approximately,suffix,work,時間,14
w132,午前,ごぜん,a.m.; morning,noun,work,時間,14
w133,午後,ごご,p.m.; afternoon,noun,work,時間,14
w134,今,いま,now,noun,work,時間,14
w135,～ぐらい,～ぐらい,about; approximately,suffix,work,時間,14
w136,何時間,なんじかん,how many hours,counter,work,時間,14
w137,～から,～から,from; since,suffix,work,時間,14
w138,～まで,～まで,until; up to,suffix,work,時間,14
w139,～番,～ばん,[number] number; order,suffix,work,数え方,15
w140,～枚,～まい,[number] flat objects,suffix,work,数え方,15
w141,～台,～だい,[number] machines/vehicles,suffix,work,数え方,15
w142,～冊,～さつ,[number] bound books/volumes,suffix,work,数え方,15
w143,～回,～かい,[number] times,suffix,work,数え方,15
w144,～本,～ほん,[number] long cylindrical objects,suffix,work,数え方,15
w145,～杯,～はい,[number] cups/glasses,suffix,work,数え方,15
f001,友達,ともだち,friend,noun,friend,どんな人?,16
f002,どんな,どんな,what kind of; what sort of,determiner,friend,どんな人?,16
f003,人,ひと,person; people,noun,friend,どんな人?,16
f004,親切な,しんせつな,kind; helpful,adjective,friend,どんな人?,16
f005,みんな,みんな,everyone; everybody,pronoun,friend,どんな人?,16
f006,元気な,げんきな,healthy; energetic; well,adjective,friend,どんな人?,16
f007,きれいな,きれいな,pretty; beautiful; clean,adjective,friend,どんな人?,16
f008,ハンサムな,はんさむな,handsome,adjective,friend,どんな人?,16
f009,かわいい,かわいい,cute; adorable,adjective,friend,どんな人?,16
f010,かっこいい,かっこいい,cool; good-looking,adjective,friend,どんな人?,16
f011,頭がいい,あたまがいい,smart; clever,expression,friend,どんな人?,16
f012,優しい,やさしい,kind; gentle,adjective,friend,どんな人?,16
f013,ユーモア,ゆーもあ,humor,noun,friend,どんな人?,16
f014,背,せ,height; stature,noun,friend,どんな人?,16
f015,高い,たかい,tall; high; expensive,adjective,friend,どんな人?,16
f016,低い,ひくい,short; low,adjective,friend,どんな人?,16
f017,目,め,eye,noun,friend,どんな人?,16
f018,大きい,おおきい,big; large,adjective,friend,どんな人?,16
f019,小さい,ちいさい,small; little,adjective,friend,どんな人?,16
f020,髪,かみ,hair,noun,friend,どんな人?,16
f021,長い,ながい,long,adjective,friend,どんな人?,16
f022,短い,みじかい,short,adjective,friend,どんな人?,16
f023,服,ふく,clothes; clothing,noun,friend,シャツを着ています,17
f024,サイズ,さいず,size,noun,friend,シャツを着ています,17
f025,素敵な,すてきな,wonderful; lovely; nice,adjective,friend,シャツを着ています,17
f026,デザイン,でざいん,design,noun,friend,シャツを着ています,17
f027,着る,きる,to wear; to put on,verb,friend,シャツを着ています,17
f028,脱ぐ,ぬぐ,to take off clothes,verb,friend,シャツを着ています,17
f029,赤い,あかい,red,adjective,friend,シャツを着ています,17
f030,青い,あおい,blue,adjective,friend,シャツを着ています,17
f031,白い,しろい,white,adjective,friend,シャツを着ています,17
f032,黒い,くろい,black,adjective,friend,シャツを着ています,17
f033,黄色い,きいろい,yellow,adjective,friend,シャツを着ています,17
f034,いろいろな,いろいろな,various; different kinds of,adjective,friend,シャツを着ています,17
f035,シャツ,しゃつ,shirt,noun,friend,シャツを着ています,17
f036,セーター,せーたー,sweater,noun,friend,シャツを着ています,17
f037,コート,こーと,coat,noun,friend,シャツを着ています,17
f038,スーツ,すーつ,suit,noun,friend,シャツを着ています,17
f039,上着,うわぎ,jacket; outerwear,noun,friend,シャツを着ています,17
f040,下着,したぎ,underwear,noun,friend,シャツを着ています,17
f041,着物,きもの,kimono; traditional Japanese clothing,noun,friend,シャツを着ています,17
f042,履く,はく,to wear; to put on (shoes; trousers; skirts),verb,friend,スカートをはきます,18
f043,ズボン,ずぼん,trousers; pants,noun,friend,スカートをはきます,18
f044,ジーンズ,じーんず,jeans,noun,friend,スカートをはきます,18
f045,パンツ,ぱんつ,pants; underwear,noun,friend,スカートをはきます,18
f046,スカート,すかーと,skirt,noun,friend,スカートをはきます,18
f047,靴,くつ,shoes,noun,friend,スカートをはきます,18
f048,靴下,くつした,socks,noun,friend,スカートをはきます,18
f049,かぶる,かぶる,to put on; to wear (on the head),verb,friend,スカートをはきます,18
f050,帽子,ぼうし,hat; cap,noun,friend,スカートをはきます,18
f051,眼鏡をかける,めがねをかける,to wear glasses,verb,friend,スカートをはきます,18
f052,眼鏡,めがね,glasses,noun,friend,スカートをはきます,18
f053,サングラス,さんぐらす,sunglasses,noun,friend,スカートをはきます,18
f054,指輪をする,ゆびわをする,to wear a ring,verb,friend,スカートをはきます,18
f055,ネクタイ,ねくたい,necktie,noun,friend,スカートをはきます,18
f056,指輪,ゆびわ,ring,noun,friend,スカートをはきます,18
f057,時計,とけい,watch; clock,noun,friend,スカートをはきます,18
f058,持つ,もつ,to have; to hold; to carry,verb,friend,スカートをはきます,18
f059,かばん,かばん,bag,noun,friend,スカートをはきます,18
f060,財布,さいふ,wallet,noun,friend,スカートをはきます,18
f061,遊ぶ,あそぶ,to play; to hang out; to spend time,verb,friend,あそぶ,19
f062,案内する,あんないする,to guide; to show around,verb,friend,あそぶ,19
f063,迎える,むかえる,to pick up; to welcome,verb,friend,あそぶ,19
f064,連れて行く,つれていく,to take someone along; to take someone somewhere,verb,friend,あそぶ,19
f065,連れて来る,つれてくる,to bring someone along; to bring someone here,verb,friend,あそぶ,19
f066,動物,どうぶつ,animal,noun,friend,あそぶ,19
f067,動物園,どうぶつえん,zoo,noun,friend,あそぶ,19
f068,パンダ,ぱんだ,panda,noun,friend,あそぶ,19
f069,象,ぞう,elephant,noun,friend,あそぶ,19
f070,馬,うま,horse,noun,friend,あそぶ,19
f071,お祭り,おまつり,festival,noun,friend,あそぶ,19
f072,お寺,おてら,Buddhist temple,noun,friend,あそぶ,19
f073,神社,じんじゃ,Shinto shrine,noun,friend,あそぶ,19
f074,旅行する,りょこうする,to travel; to take a trip,verb,friend,あそぶ,19
f075,予約する,よやくする,to reserve; to make a reservation,verb,friend,あそぶ,19
f076,ホテル,ほてる,hotel,noun,friend,あそぶ,19
f077,泊まる,とまる,to stay overnight; to stay at a hotel,verb,friend,あそぶ,19
f078,ロビー,ろびー,lobby,noun,friend,あそぶ,19
f079,お土産,おみやげ,souvenir; gift,noun,friend,あそぶ,19
f080,サービス,さーびす,service,noun,friend,あそぶ,19
f081,ホームステイする,ほーむすていする,to do a homestay,verb,friend,あそぶ,19
f082,町,まち,town; city,noun,friend,町,20
f083,県,けん,prefecture,noun,friend,町,20
f084,東京,とうきょう,Tokyo,proper_noun,friend,町,20
f085,成田,なりた,Narita,proper_noun,friend,町,20
f086,上野,うえの,Ueno,proper_noun,friend,町,20
