id,Title,Sentence,Hiragana,correct_option,wrong_option_1,wrong_option_2
lyric034,パプリカ,歌を歌って。,うたをうたって,Sing a song.,A shadow appears.,The sky is still blue.
lyric035,パプリカ,手にはいっぱいの花を抱えて。,てにはいっぱいのはなをかかえて,With your hands full of flowers.,Passing through the tree-lined avenue.,It keeps shining right before my eyes.
lyric036,パプリカ,花を抱えて。,はなをかかえて,Holding flowers.,Summer is coming.,Sing a song.
lyric037,パプリカ,いつまでもこのまま。,いつまでもこのまま,Like this forever.,Someone is calling.,A shadow appears.
lyric038,パプリカ,かかと弾ませ、この指とまれ。,かかとはずませ、このゆびとまれ,Bounce on your heels; come join this finger game.,Sing a song.,Passing through the tree-lined avenue.
lyric039,RPG,空は青く澄み渡り、海を目指して歩く。,そらはあおくすみわたり、うみをめざしてあるく,"The sky is clear and blue, and we walk toward the sea.",I gaze at you.,It keeps shining right before my eyes.
lyric040,RPG,怖いものなんてない。,こわいものなんてない,There is nothing to be afraid of.,Like this forever., I really like you.
lyric041,RPG,僕らはもう一人じゃない。,ぼくらはもうひとりじゃない,We are no longer alone.,I won't let go.,Hold me
lyric042,RPG,大切な何かが壊れた。,たいせつななにかがこわれた,Something important broke., I really like you.,I will never let go.
lyric043,RPG,あの夜に僕は星を探していた。,あのよるにぼくはほしをさがしていた,"That night, I was looking for stars.",Don't leave me anymore.,The sky is still blue.
lyric044,RPG,僕は一人で歩いていた。,ぼくはひとりであるいていた,I was walking alone.,It's not enough.,I gaze at you.
lyric045,RPG,君も見てただろうか。,きみもみてただろうか,I wonder if you were watching it too.,Sing a song.,Like this forever.
lyric046,RPG,僕は元気でやってるよ。,ぼくはげんきでやってるよ,I'm doing well.,"Let your heart play, and let it reach you.",The sky is still blue.
lyric047,RPG,君は今どこにいるの？,きみはいまどこにいるの,Where are you now?,Summer is coming.,Don't leave me anymore.
lyric048,RPG,大事なものを思い出して。,だいじなものをおもいだして,Remember the important things.,Someone is calling.,A shadow appears.
lyric049,RPG,怖くても大丈夫。,こわくてもだいじょうぶ,"Even if you're scared, it's okay.","Let your heart play, and let it reach you.",Slightly cold air.
lyric050,RPG,僕は君を探していた。,ぼくはきみをさがしていた,I was looking for you.,Bounce on your heels; come join this finger game.,Passing through the tree-lined avenue.
lyric051,RPG,あの日から僕らは一人で海を目指す。,あのひからぼくらはひとりでうみをめざす,"Since that day, we have been heading toward the sea alone.",The sky is still blue.,Sing a song.
lyric052,RPG,必ずまた逢おう。,かならずまたあおう,We'll definitely meet again.,That was a summer when the sky was still blue.,It keeps shining right before my eyes.
lyric053,RPG,自分だけが決めた答を思い出して。,じぶんだけがきめたこたえをおもいだして,Remember the answer that only you decided.,I can't see despair.,"Even if you're scared, it's okay."
lyric054,RPG,君に出逢えて僕は本当によかった。,きみにであえてぼくはほんとうによかった,I'm truly glad that I met you.,I wonder if it will be sunny tomorrow too.,I was looking for you.
lyric055,RPG,街を抜け、海に出た。,まちをぬけ、うみにでた,We passed through the town and reached the sea.,Passing through the tree-lined avenue.,"Since that day, we have been heading toward the sea alone."
lyric056,RPG,次はどこを目指そうか。,つぎはどこをめざそうか,Where shall we head next?,Someone is calling.,We'll definitely meet again.
lyric057,RPG,僕らはまた出かけよう。,ぼくらはまたでかけよう,Let's go out/travel again., I really like you.,Remember the answer that only you decided.
lyric058,RPG,愛しいこの地球を。,いとしいこのせかいを,This beloved world...,The sky is still blue.,We are no longer alone.
lyric059,アイネクライネ,あなたに会えて本当に嬉しい。,あなたにあえてほんとうにうれしい,I'm truly happy that I met you.,I was looking for you.,Shall we give it a name?
lyric060,アイネクライネ,それらすべてが悲しいんだ。,それらすべてがかなしいんだ,All of those things are sad.,"Since that day, we have been heading toward the sea alone.",I will never let go.
lyric061,アイネクライネ,今、痛いくらい幸せな思い出がある。,いま、いたいくらいしあわせなおもいでがある,Now I have memories that are painfully happy.,We'll definitely meet again.,Someone is calling.
lyric062,アイネクライネ,いつか来るお別れ。,いつかくるおわかれ,The farewell that will come someday.,Remember the answer that only you decided.,Summer is coming.
lyric063,アイネクライネ,あたしは石ころにでもなれたならいいな。,あたしはいしころにでもなれたならいいな,I wish I could even become a pebble.,I'm truly glad that I met you.,A shadow appears.
lyric064,アイネクライネ,勘違いも戸惑いもない。,かんちがいもとまどいもない,There would be neither misunderstanding nor confusion.,We passed through the town and reached the sea.,I want to see you.
lyric065,アイネクライネ,あなたにあたしの思いが全部伝わってほしい。,あなたにあたしのおもいがぜんぶつたわってほしい,I want all of my feelings to reach you.,Where shall we head next?,I wonder if it will be sunny tomorrow too.
lyric066,アイネクライネ,誰にも言えない秘密がある。,だれにもいえないひみつがある,I have a secret I can't tell anyone.,Let's go out/travel again.,"When the flowers bloom, let's sow the seeds."
lyric067,アイネクライネ,嘘をついてしまう。,うそをついてしまう,I end up telling a lie.,This beloved world...,Let's sow the seeds in the clear sky.
lyric068,アイネクライネ,あたしは意気地ない。,あたしはいくじない,I'm timid / I lack courage.,I'm truly happy that I met you.,"If you've drawn a dream, let it reach you."
lyric069,アイネクライネ,どうして？,どうして,Why?,All of those things are sad.,"Let your heart play, and let it reach you."
lyric070,アイネクライネ,あなたといれば、それでよかったねと笑える。,あなたといれば、それでよかったねとわらえる,"If I'm with you, I can smile and say, ""That was enough / It was okay.""",Now I have memories that are painfully happy.,"When I count my joys, they are full of you."
lyric071,アイネクライネ,どんなに嬉しいか。,どんなにうれしいか,How happy I am.,The farewell that will come someday.,What illuminated the way home was the shadow of memories.
lyric072,アイネクライネ,あたしの名前を呼んでくれた。,あたしのなまえをよんでくれた,You called my name for me.,I wish I could even become a pebble.,Sing a song.
lyric073,アイネクライネ,誰かが身代わりになればと思うんだ。,だれかがみがわりになればとおもうんだ,I think that if only someone could take my place...,There would be neither misunderstanding nor confusion.,"Let your heart play, and let it reach you."
lyric074,アイネクライネ,笑い合うんだ。,わらいあうんだ,We'll laugh together.,It keeps shining right before my eyes.,Summer is coming.
lyric075,アイネクライネ,何度誓っても何度祈っても。,なんどちかってもなんどいのっても,No matter how many times I swear or pray.,"Even if you're scared, it's okay.",Someone is calling.
lyric076,アイネクライネ,何ができるかな。,なにができるかな,I wonder what I can do.,I was looking for you.,"Let your heart play, and let it reach you."
lyric077,アイネクライネ,あなたの名前を呼んでいいかな。,あなたのなまえをよんでいいかな,I wonder if it's okay for me to call your name.,"Since that day, we have been heading toward the sea alone.",Bounce on your heels; come join this finger game.
lyric078,アイネクライネ,いつまでもいつまでも日々が続きますように。,いつまでもいつまでもひびがつづきますように,I hope these days continue forever and ever.,We'll definitely meet again.,I think that if only someone could take my place...
lyric079,アイネクライネ,あなたのことを探していた。,あなたのことをさがしていた,I had been searching for you.,Remember the answer that only you decided.,We'll laugh together.
lyric080,アイネクライネ,いつか出会えるあなたのことを。,いつかであえるあなたのことを,"You, whom I will meet someday.",You called my name for me.,No matter how many times I swear or pray.ますように。,おなじでありますように,I hope (they/we) are the same.,True/real feelings., I really like you.
lyric014,マリーゴールド,君が恋しい。,きみがこいしい,I miss you.,The sky is still blue.,Hold me
lyric015,マリーゴールド,絶望は見えない。,ぜつぼうはみえない,I can't see despair.,I gaze at you.,I will never let go.
lyric016,マリーゴールド,本当の気持ち。,ほんとうのきもち,True/real feelings.,Like this forever.,The sky is still blue.
lyric017,マリーゴールド,全部吐き出せる。,ぜんぶはきだせる,(I) can let everything out.,I won't let go.,I gaze at you.
lyric018,マリーゴールド,足りない。,たりない,It's not enough., I really like you.,Like this forever.
lyric019,マリーゴールド,名前をつけようか。,なまえをつけようか,Shall we give it a name?,Don't leave me anymore.,The sky is still blue.
lyric020,マリーゴールド,いつまでも離さない。,いつまでもはなさない,I will never let go.,It's not enough.,Don't leave me anymore.
